sex,age,sibsp,parch,fare,class,who,adult_male,deck,embark_town,alive,alone
male,21,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
female,18,2,0,18,Third,woman,FALSE,,Southampton,no,FALSE
female,14,1,0,11.2417,Third,child,FALSE,,Cherbourg,yes,FALSE
female,40,1,0,9.475,Third,woman,FALSE,,Southampton,no,FALSE
female,27,1,0,21,Second,woman,FALSE,,Southampton,no,FALSE
male,,0,0,7.8958,Third,man,TRUE,,Cherbourg,no,TRUE
female,3,1,2,41.5792,Second,child,FALSE,,Cherbourg,yes,FALSE
female,19,0,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
male,,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,,1,0,15.5,Third,man,TRUE,,Queenstown,no,FALSE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
male,,2,0,21.6792,Third,man,TRUE,,Cherbourg,no,FALSE
female,18,1,0,17.8,Third,woman,FALSE,,Southampton,no,FALSE
male,7,4,1,39.6875,Third,child,FALSE,,Southampton,no,FALSE
male,21,0,0,7.8,Third,man,TRUE,,Southampton,no,TRUE
female,49,1,0,76.7292,First,woman,FALSE,D,Cherbourg,yes,FALSE
female,29,1,0,26,Second,woman,FALSE,,Southampton,yes,FALSE
male,65,0,1,61.9792,First,man,TRUE,B,Cherbourg,no,FALSE
male,,0,0,35.5,First,man,TRUE,C,Southampton,yes,TRUE
female,21,0,0,10.5,Second,woman,FALSE,,Southampton,yes,TRUE
male,28.5,0,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
female,5,1,2,27.75,Second,child,FALSE,,Southampton,yes,FALSE
male,11,5,2,46.9,Third,child,FALSE,,Southampton,no,FALSE
male,22,0,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
female,38,0,0,80,First,woman,FALSE,B,,yes,TRUE
male,45,1,0,83.475,First,man,TRUE,C,Southampton,no,FALSE
male,4,3,2,27.9,Third,child,FALSE,,Southampton,no,FALSE
male,,0,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
male,,1,1,15.2458,Third,man,TRUE,,Cherbourg,yes,FALSE
female,29,0,0,10.5,Second,woman,FALSE,F,Southampton,yes,TRUE
male,19,0,0,8.1583,Third,man,TRUE,,Southampton,no,TRUE
female,17,4,2,7.925,Third,woman,FALSE,,Southampton,yes,FALSE
male,26,2,0,8.6625,Third,man,TRUE,,Southampton,no,FALSE
male,32,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
female,16,5,2,46.9,Third,woman,FALSE,,Southampton,no,FALSE
male,21,0,0,73.5,Second,man,TRUE,,Southampton,no,TRUE
male,26,1,0,14.4542,Third,man,TRUE,,Cherbourg,no,FALSE
male,32,0,0,56.4958,Third,man,TRUE,,Southampton,yes,TRUE
male,25,0,0,7.65,Third,man,TRUE,F,Southampton,no,TRUE
male,,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,0.83,0,2,29,Second,child,FALSE,,Southampton,yes,FALSE
female,30,0,0,12.475,Third,woman,FALSE,,Southampton,yes,TRUE
male,22,0,0,9,Third,man,TRUE,,Southampton,no,TRUE
male,29,0,0,9.5,Third,man,TRUE,,Southampton,yes,TRUE
female,,0,0,7.7875,Third,woman,FALSE,,Queenstown,yes,TRUE
male,28,0,0,47.1,First,man,TRUE,,Southampton,no,TRUE
female,17,0,0,10.5,Second,woman,FALSE,,Southampton,yes,TRUE
female,33,3,0,15.85,Third,woman,FALSE,,Southampton,yes,FALSE
male,16,1,3,34.375,Third,man,TRUE,,Southampton,no,FALSE
male,,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
female,23,3,2,263,First,woman,FALSE,C,Southampton,yes,FALSE
male,24,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,29,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,20,0,0,7.8542,Third,man,TRUE,,Southampton,no,TRUE
male,46,1,0,61.175,First,man,TRUE,E,Southampton,no,FALSE
male,26,1,2,20.575,Third,man,TRUE,,Southampton,no,FALSE
male,59,0,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,71,0,0,34.6542,First,man,TRUE,A,Cherbourg,no,TRUE
male,23,0,1,63.3583,First,man,TRUE,D,Cherbourg,yes,FALSE
female,34,0,1,23,Second,woman,FALSE,,Southampton,yes,FALSE
male,34,1,0,26,Second,man,TRUE,,Southampton,no,FALSE
female,28,0,0,7.8958,Third,woman,FALSE,,Southampton,no,TRUE
male,,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,21,0,1,77.2875,First,man,TRUE,D,Southampton,no,FALSE
male,33,0,0,8.6542,Third,man,TRUE,,Southampton,no,TRUE
male,37,2,0,7.925,Third,man,TRUE,,Southampton,no,FALSE
male,28,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
female,21,0,0,7.65,Third,woman,FALSE,,Southampton,yes,TRUE
male,,0,0,7.775,Third,man,TRUE,,Southampton,yes,TRUE
male,38,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
female,,1,0,24.15,Third,woman,FALSE,,Queenstown,yes,FALSE
male,47,0,0,52,First,man,TRUE,C,Southampton,no,TRUE
female,14.5,1,0,14.4542,Third,child,FALSE,,Cherbourg,no,FALSE
male,22,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
female,20,1,0,9.825,Third,woman,FALSE,,Southampton,no,FALSE
female,17,0,0,14.4583,Third,woman,FALSE,,Cherbourg,no,TRUE
male,21,0,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
male,70.5,0,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
male,29,1,0,21,Second,man,TRUE,,Southampton,no,FALSE
male,24,0,1,247.5208,First,man,TRUE,B,Cherbourg,no,FALSE
female,2,4,2,31.275,Third,child,FALSE,,Southampton,no,FALSE
male,21,2,0,73.5,Second,man,TRUE,,Southampton,no,FALSE
male,,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,32.5,1,0,30.0708,Second,man,TRUE,,Cherbourg,no,FALSE
female,32.5,0,0,13,Second,woman,FALSE,E,Southampton,yes,TRUE
male,54,0,1,77.2875,First,man,TRUE,D,Southampton,no,FALSE
male,12,1,0,11.2417,Third,child,FALSE,,Cherbourg,yes,FALSE
male,,0,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
male,24,0,0,7.1417,Third,man,TRUE,,Southampton,yes,TRUE
female,,1,1,22.3583,Third,woman,FALSE,F,Cherbourg,yes,FALSE
male,45,0,0,6.975,Third,man,TRUE,,Southampton,no,TRUE
male,33,0,0,7.8958,Third,man,TRUE,,Cherbourg,no,TRUE
male,20,0,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
female,47,1,0,14.5,Third,woman,FALSE,,Southampton,no,FALSE
female,29,1,0,26,Second,woman,FALSE,,Southampton,yes,FALSE
male,25,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,23,0,0,15.0458,Second,man,TRUE,,Cherbourg,no,TRUE
female,19,0,2,26.2833,First,woman,FALSE,D,Southampton,yes,FALSE
male,37,1,0,53.1,First,man,TRUE,C,Southampton,no,FALSE
male,16,0,0,9.2167,Third,man,TRUE,,Southampton,no,TRUE
male,24,0,0,79.2,First,man,TRUE,B,Cherbourg,no,TRUE
female,,0,2,15.2458,Third,woman,FALSE,,Cherbourg,no,FALSE
female,22,0,0,7.75,Third,woman,FALSE,,Southampton,yes,TRUE
female,24,1,0,15.85,Third,woman,FALSE,,Southampton,yes,FALSE
male,19,0,0,6.75,Third,man,TRUE,,Queenstown,no,TRUE
male,18,0,0,11.5,Second,man,TRUE,,Southampton,no,TRUE
male,19,1,1,36.75,Second,man,TRUE,,Southampton,no,FALSE
male,27,0,0,7.7958,Third,man,TRUE,,Southampton,yes,TRUE
female,9,2,2,34.375,Third,child,FALSE,,Southampton,no,FALSE
male,36.5,0,2,26,Second,man,TRUE,F,Southampton,no,FALSE
male,42,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,51,0,0,12.525,Second,man,TRUE,,Southampton,no,TRUE
female,22,1,0,66.6,First,woman,FALSE,C,Southampton,yes,FALSE
male,55.5,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,40.5,0,2,14.5,Third,man,TRUE,,Southampton,no,FALSE
male,,0,0,7.3125,Third,man,TRUE,,Southampton,no,TRUE
male,51,0,1,61.3792,First,man,TRUE,,Cherbourg,no,FALSE
female,16,0,0,7.7333,Third,woman,FALSE,,Queenstown,yes,TRUE
male,30,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
male,,8,2,69.55,Third,man,TRUE,,Southampton,no,FALSE
male,44,0,1,16.1,Third,man,TRUE,,Southampton,no,FALSE
female,40,0,0,15.75,Second,woman,FALSE,,Southampton,yes,TRUE
male,26,0,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
male,17,0,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
male,1,4,1,39.6875,Third,child,FALSE,,Southampton,no,FALSE
male,9,0,2,20.525,Third,child,FALSE,,Southampton,yes,FALSE
female,,0,1,55,First,woman,FALSE,E,Southampton,yes,FALSE
female,45,1,4,27.9,Third,woman,FALSE,,Southampton,no,FALSE
male,,0,0,25.925,First,man,TRUE,,Southampton,no,TRUE
male,28,0,0,56.4958,Third,man,TRUE,,Southampton,no,TRUE
male,61,0,0,33.5,First,man,TRUE,B,Southampton,no,TRUE
male,4,4,1,29.125,Third,child,FALSE,,Queenstown,no,FALSE
female,1,1,1,11.1333,Third,child,FALSE,,Southampton,yes,FALSE
male,21,0,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
male,56,0,0,30.6958,First,man,TRUE,A,Cherbourg,no,TRUE
male,18,1,1,7.8542,Third,man,TRUE,,Southampton,no,FALSE
male,,3,1,25.4667,Third,man,TRUE,,Southampton,no,FALSE
female,50,0,0,28.7125,First,woman,FALSE,C,Cherbourg,no,TRUE
male,30,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,36,0,0,0,Third,man,TRUE,,Southampton,no,TRUE
female,,8,2,69.55,Third,woman,FALSE,,Southampton,no,FALSE
male,,0,0,15.05,Second,man,TRUE,,Cherbourg,no,TRUE
male,9,4,2,31.3875,Third,child,FALSE,,Southampton,no,FALSE
male,1,2,1,39,Second,child,FALSE,F,Southampton,yes,FALSE
female,4,0,2,22.025,Third,child,FALSE,,Southampton,yes,FALSE
male,,0,0,50,First,man,TRUE,A,Southampton,no,TRUE
female,,1,0,15.5,Third,woman,FALSE,,Queenstown,yes,FALSE
male,45,0,0,26.55,First,man,TRUE,,Southampton,yes,TRUE
male,40,1,1,15.5,Third,man,TRUE,,Queenstown,no,FALSE
male,36,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
female,32,0,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
male,19,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
female,19,1,0,7.8542,Third,woman,FALSE,,Southampton,yes,FALSE
male,3,1,1,26,Second,child,FALSE,F,Southampton,yes,FALSE
female,44,0,0,27.7208,First,woman,FALSE,B,Cherbourg,yes,TRUE
female,58,0,0,146.5208,First,woman,FALSE,B,Cherbourg,yes,TRUE
male,,0,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
male,42,0,1,8.4042,Third,man,TRUE,,Southampton,no,FALSE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
female,24,0,0,13,Second,woman,FALSE,,Southampton,no,TRUE
male,28,0,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
male,,8,2,69.55,Third,man,TRUE,,Southampton,no,FALSE
male,34,0,0,6.4958,Third,man,TRUE,,Southampton,no,TRUE
male,45.5,0,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
male,18,0,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
female,2,0,1,10.4625,Third,child,FALSE,G,Southampton,no,FALSE
male,32,1,0,15.85,Third,man,TRUE,,Southampton,no,FALSE
male,26,0,0,18.7875,Third,man,TRUE,,Cherbourg,yes,TRUE
female,16,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
male,40,0,0,31,First,man,TRUE,A,Cherbourg,yes,TRUE
male,24,0,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
female,35,0,0,21,Second,woman,FALSE,,Southampton,yes,TRUE
male,22,0,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
male,30,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,,1,0,7.75,Third,man,TRUE,,Queenstown,no,FALSE
female,31,1,0,113.275,First,woman,FALSE,D,Cherbourg,yes,FALSE
female,27,0,0,7.925,Third,woman,FALSE,,Southampton,yes,TRUE
male,42,1,0,27,Second,man,TRUE,,Southampton,no,FALSE
female,32,0,0,76.2917,First,woman,FALSE,D,Cherbourg,yes,TRUE
male,30,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
male,16,0,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
male,27,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,51,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,38,1,0,90,First,man,TRUE,C,Southampton,yes,FALSE
male,22,0,0,9.35,Third,man,TRUE,,Southampton,no,TRUE
male,19,0,0,10.5,Second,man,TRUE,,Southampton,yes,TRUE
male,20.5,0,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
male,18,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
female,,3,1,25.4667,Third,woman,FALSE,,Southampton,no,FALSE
female,35,1,0,83.475,First,woman,FALSE,C,Southampton,yes,FALSE
male,29,0,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
male,59,0,0,13.5,Second,man,TRUE,,Southampton,no,TRUE
female,5,4,2,31.3875,Third,child,FALSE,,Southampton,yes,FALSE
male,24,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
female,,0,0,7.55,Third,woman,FALSE,,Southampton,no,TRUE
male,44,1,0,26,Second,man,TRUE,,Southampton,no,FALSE
female,8,0,2,26.25,Second,child,FALSE,,Southampton,yes,FALSE
male,19,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
male,33,0,0,12.275,Second,man,TRUE,,Southampton,no,TRUE
female,,1,0,14.4542,Third,woman,FALSE,,Cherbourg,no,FALSE
female,,1,0,15.5,Third,woman,FALSE,,Queenstown,yes,FALSE
male,29,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
male,22,0,0,7.125,Third,man,TRUE,,Southampton,no,TRUE
male,30,0,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
male,44,2,0,90,First,man,TRUE,C,Queenstown,no,FALSE
female,25,0,0,7.775,Third,woman,FALSE,,Southampton,no,TRUE
female,24,0,2,14.5,Second,woman,FALSE,,Southampton,yes,FALSE
male,37,1,1,52.5542,First,man,TRUE,D,Southampton,yes,FALSE
male,54,1,0,26,Second,man,TRUE,,Southampton,no,FALSE
male,,0,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
female,29,1,1,10.4625,Third,woman,FALSE,G,Southampton,no,FALSE
male,62,0,0,26.55,First,man,TRUE,C,Southampton,no,TRUE
male,30,1,0,16.1,Third,man,TRUE,,Southampton,no,FALSE
female,41,0,2,20.2125,Third,woman,FALSE,,Southampton,no,FALSE
female,29,0,2,15.2458,Third,woman,FALSE,,Cherbourg,yes,FALSE
female,,0,0,79.2,First,woman,FALSE,,Cherbourg,yes,TRUE
female,30,0,0,86.5,First,woman,FALSE,B,Southampton,yes,TRUE
female,35,0,0,512.3292,First,woman,FALSE,,Cherbourg,yes,TRUE
female,50,0,1,26,Second,woman,FALSE,,Southampton,yes,FALSE
male,,0,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
male,3,4,2,31.3875,Third,child,FALSE,,Southampton,yes,FALSE
male,52,1,1,79.65,First,man,TRUE,E,Southampton,no,FALSE
male,40,0,0,0,First,man,TRUE,B,Southampton,no,TRUE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,no,TRUE
male,36,0,0,10.5,Second,man,TRUE,,Southampton,no,TRUE
male,16,4,1,39.6875,Third,man,TRUE,,Southampton,no,FALSE
male,25,1,0,7.775,Third,man,TRUE,,Southampton,yes,FALSE
female,58,0,1,153.4625,First,woman,FALSE,C,Southampton,yes,FALSE
female,35,0,0,135.6333,First,woman,FALSE,C,Southampton,yes,TRUE
male,,0,0,31,First,man,TRUE,,Southampton,no,TRUE
male,25,0,0,0,Third,man,TRUE,,Southampton,yes,TRUE
female,41,0,1,19.5,Second,woman,FALSE,,Southampton,yes,FALSE
male,37,0,1,29.7,First,man,TRUE,C,Cherbourg,no,FALSE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
female,63,1,0,77.9583,First,woman,FALSE,D,Southampton,yes,FALSE
female,45,0,0,7.75,Third,woman,FALSE,,Southampton,no,TRUE
male,,0,0,0,Second,man,TRUE,,Southampton,no,TRUE
male,7,4,1,29.125,Third,child,FALSE,,Queenstown,no,FALSE
female,35,1,1,20.25,Third,woman,FALSE,,Southampton,yes,FALSE
male,65,0,0,7.75,Third,man,TRUE,,Queenstown,no,TRUE
male,28,0,0,7.8542,Third,man,TRUE,,Southampton,no,TRUE
male,16,0,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
male,19,0,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
male,,0,0,26,First,man,TRUE,A,Southampton,no,TRUE
male,33,0,0,8.6625,Third,man,TRUE,,Cherbourg,no,TRUE
male,30,0,0,9.5,Third,man,TRUE,,Southampton,yes,TRUE
male,22,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,42,0,0,13,Second,man,TRUE,,Southampton,yes,TRUE
female,22,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
female,26,0,0,78.85,First,woman,FALSE,,Southampton,yes,TRUE
female,19,1,0,91.0792,First,woman,FALSE,B,Cherbourg,yes,FALSE
male,36,0,0,12.875,Second,man,TRUE,D,Cherbourg,no,TRUE
female,24,0,0,8.85,Third,woman,FALSE,,Southampton,no,TRUE
male,24,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,27.7208,First,man,TRUE,,Cherbourg,no,TRUE
male,23.5,0,0,7.2292,Third,man,TRUE,,Cherbourg,no,TRUE
female,2,1,2,151.55,First,child,FALSE,C,Southampton,no,FALSE
male,,0,0,30.5,First,man,TRUE,C,Southampton,yes,TRUE
female,50,0,1,247.5208,First,woman,FALSE,B,Cherbourg,yes,FALSE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
male,,2,0,23.25,Third,man,TRUE,,Queenstown,yes,FALSE
male,19,0,0,0,Third,man,TRUE,,Southampton,no,TRUE
female,,0,0,12.35,Second,woman,FALSE,E,Queenstown,yes,TRUE
male,,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,0.92,1,2,151.55,First,child,FALSE,C,Southampton,yes,FALSE
female,,0,0,110.8833,First,woman,FALSE,,Cherbourg,yes,TRUE
female,17,1,0,108.9,First,woman,FALSE,C,Cherbourg,yes,FALSE
male,30,1,0,24,Second,man,TRUE,,Cherbourg,no,FALSE
female,30,0,0,56.9292,First,woman,FALSE,E,Cherbourg,yes,TRUE
female,24,0,0,83.1583,First,woman,FALSE,C,Cherbourg,yes,TRUE
female,18,2,2,262.375,First,woman,FALSE,B,Cherbourg,yes,FALSE
female,26,1,1,26,Second,woman,FALSE,,Southampton,no,FALSE
male,28,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,43,1,1,26.25,Second,man,TRUE,,Southampton,no,FALSE
female,26,0,0,7.8542,Third,woman,FALSE,,Southampton,yes,TRUE
female,24,1,0,26,Second,woman,FALSE,,Southampton,yes,FALSE
male,54,0,0,14,Second,man,TRUE,,Southampton,no,TRUE
female,31,0,2,164.8667,First,woman,FALSE,C,Southampton,yes,FALSE
female,40,1,1,134.5,First,woman,FALSE,E,Cherbourg,yes,FALSE
male,22,0,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
male,27,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
female,30,0,0,12.35,Second,woman,FALSE,,Queenstown,yes,TRUE
female,22,1,1,29,Second,woman,FALSE,,Southampton,yes,FALSE
male,,8,2,69.55,Third,man,TRUE,,Southampton,no,FALSE
female,36,0,0,135.6333,First,woman,FALSE,C,Cherbourg,yes,TRUE
male,61,0,0,6.2375,Third,man,TRUE,,Southampton,no,TRUE
female,36,0,0,13,Second,woman,FALSE,D,Southampton,yes,TRUE
female,31,1,1,20.525,Third,woman,FALSE,,Southampton,yes,FALSE
female,16,0,1,57.9792,First,woman,FALSE,B,Cherbourg,yes,FALSE
female,,2,0,23.25,Third,woman,FALSE,,Queenstown,yes,FALSE
male,45.5,0,0,28.5,First,man,TRUE,C,Southampton,no,TRUE
male,38,0,1,153.4625,First,man,TRUE,C,Southampton,no,FALSE
male,16,2,0,18,Third,man,TRUE,,Southampton,no,FALSE
female,,1,0,133.65,First,woman,FALSE,,Southampton,yes,FALSE
male,,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,29,1,0,66.6,First,man,TRUE,C,Southampton,no,FALSE
female,41,0,0,134.5,First,woman,FALSE,E,Cherbourg,yes,TRUE
male,45,0,0,8.05,Third,man,TRUE,,Southampton,yes,TRUE
male,45,0,0,35.5,First,man,TRUE,,Southampton,no,TRUE
male,2,1,1,26,Second,child,FALSE,F,Southampton,yes,FALSE
female,24,3,2,263,First,woman,FALSE,C,Southampton,yes,FALSE
male,28,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,25,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
male,36,0,0,13,Second,man,TRUE,,Southampton,no,TRUE
female,24,0,0,13,Second,woman,FALSE,F,Southampton,yes,TRUE
female,40,0,0,13,Second,woman,FALSE,,Southampton,yes,TRUE
female,,1,0,16.1,Third,woman,FALSE,,Southampton,yes,FALSE
male,3,1,1,15.9,Third,child,FALSE,,Southampton,yes,FALSE
male,42,0,0,8.6625,Third,man,TRUE,,Southampton,no,TRUE
male,23,0,0,9.225,Third,man,TRUE,,Southampton,no,TRUE
male,,0,0,35,First,man,TRUE,C,Southampton,no,TRUE
male,15,1,1,7.2292,Third,child,FALSE,,Cherbourg,no,FALSE
male,25,1,0,17.8,Third,man,TRUE,,Southampton,no,FALSE
male,,0,0,7.225,Third,man,TRUE,,Cherbourg,no,TRUE
male,28,0,0,9.5,Third,man,TRUE,,Southampton,no,TRUE
female,22,0,1,55,First,woman,FALSE,E,Southampton,yes,FALSE
female,38,0,0,13,Second,woman,FALSE,,Southampton,no,TRUE
female,,0,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
female,,0,0,7.8792,Third,woman,FALSE,,Queenstown,yes,TRUE
male,40,1,4,27.9,Third,man,TRUE,,Southampton,no,FALSE
male,29,1,0,27.7208,Second,man,TRUE,,Cherbourg,no,FALSE
female,45,0,1,14.4542,Third,woman,FALSE,,Cherbourg,no,FALSE
male,35,0,0,7.05,Third,man,TRUE,,Southampton,no,TRUE
male,,1,0,15.5,Third,man,TRUE,,Queenstown,no,FALSE
male,30,0,0,7.25,Third,man,TRUE,,Southampton,no,TRUE
female,60,1,0,75.25,First,woman,FALSE,D,Cherbourg,yes,FALSE
female,,0,0,7.2292,Third,woman,FALSE,,Cherbourg,yes,TRUE
female,,0,0,7.75,Third,woman,FALSE,,Queenstown,yes,TRUE
female,24,0,0,69.3,First,woman,FALSE,B,Cherbourg,yes,TRUE
male,25,1,0,55.4417,First,man,TRUE,E,Cherbourg,yes,FALSE
male,18,1,0,6.4958,Third,man,TRUE,,Southampton,no,FALSE
male,19,0,0,8.05,Third,man,TRUE,,Southampton,no,TRUE
male,22,0,0,135.6333,First,man,TRUE,,Cherbourg,no,TRUE
female,3,3,1,21.075,Third,child,FALSE,,Southampton,no,FALSE
female,,1,0,82.1708,First,woman,FALSE,,Cherbourg,yes,FALSE
female,22,0,0,7.25,Third,woman,FALSE,,Southampton,yes,TRUE
male,27,0,2,211.5,First,man,TRUE,C,Cherbourg,no,FALSE
male,20,0,0,4.0125,Third,man,TRUE,,Cherbourg,no,TRUE
male,19,0,0,7.775,Third,man,TRUE,,Southampton,no,TRUE
female,42,0,0,227.525,First,woman,FALSE,,Cherbourg,yes,TRUE
female,1,0,2,15.7417,Third,child,FALSE,,Cherbourg,yes,FALSE
male,32,0,0,7.925,Third,man,TRUE,,Southampton,no,TRUE
female,35,1,0,52,First,woman,FALSE,,Southampton,yes,FALSE
male,,0,0,7.8958,Third,man,TRUE,,Southampton,no,TRUE
male,18,0,0,73.5,Second,man,TRUE,,Southampton,no,TRUE
